INFO: start
INFO: Clearing chip ... done
INFO: Writing control logic chip number 1
INFO: instrAndStep=0019, address=0119, enabled=1, bVal=8
INFO: instrAndStep=0019, address=0199, enabled=1, bVal=8
INFO: instrAndStep=001a, address=001a, enabled=1, bVal=0
INFO: instrAndStep=001a, address=009a, enabled=1, bVal=0
INFO: instrAndStep=001a, address=011a, enabled=1, bVal=0
INFO: instrAndStep=001a, address=019a, enabled=1, bVal=0
INFO: instrAndStep=001b, address=001b, enabled=1, bVal=0
INFO: instrAndStep=001b, address=009b, enabled=1, bVal=0
INFO: instrAndStep=001b, address=011b, enabled=1, bVal=0
INFO: instrAndStep=001b, address=019b, enabled=1, bVal=0
INFO: instrAndStep=001c, address=001c, enabled=1, bVal=0
INFO: instrAndStep=001c, address=009c, enabled=1, bVal=0
INFO: instrAndStep=001c, address=011c, enabled=1, bVal=0
INFO: instrAndStep=001c, address=019c, enabled=1, bVal=0
INFO: instrAndStep=001d, address=001d, enabled=1, bVal=0
INFO: instrAndStep=001d, address=009d, enabled=1, bVal=0
INFO: instrAndStep=001d, address=011d, enabled=1, bVal=0
INFO: instrAndStep=001d, address=019d, enabled=1, bVal=0
INFO: instrAndStep=001e, address=001e, enabled=1, bVal=0
INFO: instrAndStep=001e, address=009e, enabled=1, bVal=0
INFO: instrAndStep=001e, address=011e, enabled=1, bVal=0
INFO: instrAndStep=001e, address=019e, enabled=1, bVal=0
INFO: instrAndStep=001f, address=001f, enabled=1, bVal=0
INFO: instrAndStep=001f, address=009f, enabled=1, bVal=0
INFO: instrAndStep=001f, address=011f, enabled=1, bVal=0
INFO: instrAndStep=001f, address=019f, enabled=1, bVal=0
INFO: instrAndStep=0020, address=0020, enabled=1, bVal=4
INFO: instrAndStep=0020, address=00a0, enabled=1, bVal=4
INFO: instrAndStep=0020, address=0120, enabled=1, bVal=4
INFO: instrAndStep=0020, address=01a0, enabled=1, bVal=4
INFO: instrAndStep=0021, address=0021, enabled=1, bVal=8
INFO: instrAndStep=0021, address=00a1, enabled=1, bVal=8
INFO: instrAndStep=0021, address=0121, enabled=1, bVal=8
INFO: instrAndStep=0021, address=01a1, enabled=1, bVal=8
INFO: instrAndStep=0022, address=0022, enabled=1, bVal=0
INFO: instrAndStep=0022, address=00a2, enabled=1, bVal=0
INFO: instrAndStep=0022, address=0122, enabled=1, bVal=0
INFO: instrAndStep=0022, address=01a2, enabled=1, bVal=0
INFO: instrAndStep=0023, address=0023, enabled=1, bVal=32
INFO: instrAndStep=0023, address=00a3, enabled=1, bVal=32
INFO: instrAndStep=0023, address=0123, enabled=1, bVal=32
INFO: instrAndStep=0023, address=01a3, enabled=1, bVal=32
INFO: instrAndStep=0024, address=0024, enabled=1, bVal=129
INFO: instrAndStep=0024, address=00a4, enabled=1, bVal=129
INFO: instrAndStep=0024, address=0124, enabled=1, bVal=129
INFO: instrAndStep=0024, address=01a4, enabled=1, bVal=129
INFO: instrAndStep=0025, address=0025, enabled=1, bVal=0
INFO: instrAndStep=0025, address=00a5, enabled=1, bVal=0
INFO: instrAndStep=0025, address=0125, enabled=1, bVal=0
INFO: instrAndStep=0025, address=01a5, enabled=1, bVal=0
INFO: instrAndStep=0026, address=0026, enabled=1, bVal=0
INFO: instrAndStep=0026, address=00a6, enabled=1, bVal=0
INFO: instrAndStep=0026, address=0126, enabled=1, bVal=0
INFO: instrAndStep=0026, address=01a6, enabled=1, bVal=0
INFO: instrAndStep=0027, address=0027, enabled=1, bVal=0
INFO: instrAndStep=0027, address=00a7, enabled=1, bVal=0
INFO: instrAndStep=0027, address=0127, enabled=1, bVal=0
INFO: instrAndStep=0027, address=01a7, enabled=1, bVal=0
INFO: instrAndStep=0028, address=0028, enabled=1, bVal=4
INFO: instrAndStep=0028, address=00a8, enabled=1, bVal=4
INFO: instrAndStep=0028, address=0128, enabled=1, bVal=4
INFO: instrAndStep=0028, address=01a8, enabled=1, bVal=4
INFO: instrAndStep=0029, address=0029, enabled=1, bVal=8
INFO: instrAndStep=0029, address=00a9, enabled=1, bVal=8
INFO: instrAndStep=0029, address=0129, enabled=1, bVal=8
INFO: instrAndStep=0029, address=01a9, enabled=1, bVal=8
INFO: instrAndStep=002a, address=002a, enabled=1, bVal=0
INFO: instrAndStep=002a, address=00aa, enabled=1, bVal=0
INFO: instrAndStep=002a, address=012a, enabled=1, bVal=0
INFO: instrAndStep=002a, address=01aa, enabled=1, bVal=0
INFO: instrAndStep=002b, address=002b, enabled=1, bVal=32
INFO: instrAndStep=002b, address=00ab, enabled=1, bVal=32
INFO: instrAndStep=002b, address=012b, enabled=1, bVal=32
INFO: instrAndStep=002b, address=01ab, enabled=1, bVal=32
INFO: instrAndStep=002c, address=002c, enabled=1, bVal=193
INFO: instrAndStep=002c, address=00ac, enabled=1, bVal=193
INFO: instrAndStep=002c, address=012c, enabled=1, bVal=193
INFO: instrAndStep=002c, address=01ac, enabled=1, bVal=193
INFO: instrAndStep=002d, address=002d, enabled=1, bVal=0
INFO: instrAndStep=002d, address=00ad, enabled=1, bVal=0
INFO: instrAndStep=002d, address=012d, enabled=1, bVal=0
INFO: instrAndStep=002d, address=01ad, enabled=1, bVal=0
INFO: instrAndStep=002e, address=002e, enabled=1, bVal=0
INFO: instrAndStep=002e, address=00ae, enabled=1, bVal=0
INFO: instrAndStep=002e, address=012e, enabled=1, bVal=0
INFO: instrAndStep=002e, address=01ae, enabled=1, bVal=0
INFO: instrAndStep=002f, address=002f, enabled=1, bVal=0
INFO: instrAndStep=002f, address=00af, enabled=1, bVal=0
INFO: instrAndStep=002f, address=012f, enabled=1, bVal=0
INFO: instrAndStep=002f, address=01af, enabled=1, bVal=0
INFO: instrAndStep=0030, address=0030, enabled=1, bVal=4
INFO: instrAndStep=0030, address=00b0, enabled=1, bVal=4
INFO: instrAndStep=0030, address=0130, enabled=1, bVal=4
INFO: instrAndStep=0030, address=01b0, enabled=1, bVal=4
INFO: instrAndStep=0031, address=0031, enabled=1, bVal=8
INFO: instrAndStep=0031, address=00b1, enabled=1, bVal=8
INFO: instrAndStep=0031, address=0131, enabled=1, bVal=8
INFO: instrAndStep=0031, address=01b1, enabled=1, bVal=8
INFO: instrAndStep=0032, address=0032, enabled=1, bVal=0
INFO: instrAndStep=0032, address=00b2, enabled=1, bVal=0
INFO: instrAndStep=0032, address=0132, enabled=1, bVal=0
INFO: instrAndStep=0032, address=01b2, enabled=1, bVal=0
INFO: instrAndStep=0033, address=0033, enabled=1, bVal=0
INFO: instrAndStep=0033, address=00b3, enabled=1, bVal=0
INFO: instrAndStep=0033, address=0133, enabled=1, bVal=0
INFO: instrAndStep=0033, address=01b3, enabled=1, bVal=0
INFO: instrAndStep=0034, address=0034, enabled=1, bVal=0
INFO: instrAndStep=0034, address=00b4, enabled=1, bVal=0
INFO: instrAndStep=0034, address=0134, enabled=1, bVal=0
INFO: instrAndStep=0034, address=01b4, enabled=1, bVal=0
INFO: instrAndStep=0035, address=0035, enabled=1, bVal=0
INFO: instrAndStep=0035, address=00b5, enabled=1, bVal=0
INFO: instrAndStep=0035, address=0135, enabled=1, bVal=0
INFO: instrAndStep=0035, address=01b5, enabled=1, bVal=0
INFO: instrAndStep=0036, address=0036, enabled=1, bVal=0
INFO: instrAndStep=0036, address=00b6, enabled=1, bVal=0
INFO: instrAndStep=0036, address=0136, enabled=1, bVal=0
INFO: instrAndStep=0036, address=01b6, enabled=1, bVal=0
INFO: instrAndStep=0037, address=0037, enabled=1, bVal=0
INFO: instrAndStep=0037, address=00b7, enabled=1, bVal=0
INFO: instrAndStep=0037, address=0137, enabled=1, bVal=0
INFO: instrAndStep=0037, address=01b7, enabled=1, bVal=0
INFO: instrAndStep=0038, address=0038, enabled=1, bVal=4
INFO: instrAndStep=0038, address=00b8, enabled=1, bVal=4
INFO: instrAndStep=0038, address=0138, enabled=1, bVal=4
INFO: instrAndStep=0038, address=01b8, enabled=1, bVal=4
INFO: instrAndStep=0039, address=0039, enabled=1, bVal=8
